OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
1002100000,H,I,,,,F,103,A,A,I,X,,,,F,080,E,B,,X,,,,,B,,,2016,01,6700200000
6300000000,H,I,,,,F,089,J,C,E,,,,,F,000,Z,I,,,,,,B,,,,2016,01,
6400000000,D,D,,,,F,094,A,C,C,,,,,F,068,,B,,,,,,M,,,,2016,01,6401600000
6300000000,D,D,,,,F,098,A,C,C,,,,,F,059,Z,B,,,,,,,,,,2016,01,6301100000
1002100000,H,I,,,,F,103,A,A,I,X,,,,F,073,Z,B,,X,,,,B,,,,2016,01,6701400000
6400000000,C,C,,,,F,104,A,A,I,X,,,,M,071,Z,B,,X,,,,,,,,2016,01,6400900000
1002100000,H,I,,,,M,102,A,A,I,X,,,,M,077,Z,A,,X,,,,B,,,,2016,01,6700700000
1002100000,H,I,,,,M,104,A,A,Z,X,,,,F,082,Z,B,,X,,,,,,,,2016,01,6703100000
6400000000,H,I,,,,F,098,A,C,C,X,,,,M,054,Z,A,,H,,,,B,,,,2016,01,6400800000
6400000000,H,I,,,,M,102,L,B,I,X,,,,F,072,F,B,,X,,,,B,,,,2016,01,6403600000
6400000000,H,I,,,,F,103,L,A,I,X,,,,F,072,F,B,,X,,,,B,,,,2016,01,6403600000
1001400000,H,I,,,,M,096,J,C,C,,,,,F,084,Z,H,,,,,,B,,,,2016,01,
6400000000,H,I,,,,M,093,A,C,C,,,,,M,064,Z,A,,,,,,B,,,,2016,01,
6400000000,H,I,,,,M,095,A,C,C,,,,,M,064,Z,A,,,,,,B,,,,2016,01,
1002100000,H,I,,,,M,100,A,B,I,X,,,,F,073,,B,,X,,,,B,,,,2016,01,6703100000
6400000000,H,I,,,,F,104,A,,I,,,,,M,062,Z,A,,,,,,B,,,,2016,01,
1001400000,H,I,,,,F,091,J,C,D,,,,,M,051,Z,A,,,,,,B,,,,2016,01,
1002100000,H,I,,,,M,092,A,C,C,L,,,,M,065,Z,A,,X,,,,,,,,2016,01,
6500000000,,C,,,,Z,000,J,C,E,X,,,,M,054,,A,,,,,,,,,,2016,01,6500400000
6300000000,H,I,,,,M,089,A,C,F,X,,,,M,089,Z,A,,X,,,,B,,,,2016,01,6300200000
6500000000,D,D,,,,M,093,A,C,C,,,,,M,061,E,A,,,,,,,,,,2016,01,6501800000
1001900000,D,D,,,,F,089,A,C,D,,,,,M,062,E,A,,,,,,,,,,2016,01,6602800000
6500000000,D,D,,,,F,090,A,C,D,,,,,F,067,E,B,,,,,,B,,,,2016,01,6500700000
1000300000,D,D,,,,M,103,A,A,Z,,,,,M,076,G,A,,,,,,,,B,,2016,01,1000302000
1000300000,D,D,,,,F,099,A,B,I,,,,,M,067,G,A,,,,,,B,,,,2016,01,1000309000
1000700000,D,D,,,,M,090,A,C,D,,,,,M,065,E,A,,,,,,B,,,,2016,01,1000701000
1001300000,D,D,,,,M,096,M,C,C,,,,,M,073,D,A,,,,,,B,,,,2016,01,1001313000
6500000000,D,D,,,,M,094,A,C,C,,,,,M,046,E,A,,,,,,B,,,,2016,01,6500100000
6500000000,D,D,,,,F,099,A,B,I,,,,,M,054,G,A,,,,,,O,,,,2016,01,6500600000
6500000000,D,D,,,,M,093,A,C,C,,,,,M,074,F,A,,,,,,B,,,,2016,01,6500100000
1001900000,D,D,,,,M,000,A,A,I,,,,,M,071,C,G,,,,,,,,B,,2016,01,6600600000
1000700000,D,D,,,,M,091,A,C,D,,,,,,,,A,,,,,,,,,,2016,01,1000717000
1001900000,D,D,,,,F,087,A,C,E,,,,,M,070,E,A,,,,,,,,,,2016,01,6601600000
1001900000,D,D,,,,M,092,A,C,C,,,,,M,064,D,A,,,,,,,,,,2016,01,6601400000
1000400000,H,Z,,,,M,091,Q,C,D,X,,,,M,057,Z,A,,X,,,,BO,B,,,2016,01,1000412000
1001500000,H,E,,,,F,104,X,A,Z,X,,,,F,082,D,B,,,,,,B,A,,,2016,01,1001501000
1001900000,H,I,,,,M,104,J,,Z,,,,,M,000,Z,A,,,,,,B,,,,2016,01,6601100000
1000700000,H,E,,,,M,101,A,B,I,,,,,F,075,,I,,,,,,N,,,,2016,01,1000703000
1000800000,H,C,,,,M,104,A,A,Z,X,,,,M,071,D,G,,X,,,,B,,,,2016,01,1000802000
1001300000,H,I,,,,M,104,A,A,Z,X,,,,M,083,Z,A,,L,,,,B,,,,2016,01,1001308000
1000300000,H,I,,,,F,097,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2016,01,1000301000
6500000000,H,I,,,,F,089,A,C,D,L,,,,M,000,Z,G,,,,,,B,,,,2016,01,
1001900000,H,I,,,,F,092,A,C,D,X,,,,F,070,Z,B,,X,,,,B,,,,2016,01,6600800000
1001900000,F,F,,,,F,000,J,,Z,X,,,,,000,,I,,,,,,,,,,2016,01,6602300000
1000300000,H,I,,,,F,087,A,C,E,,,,,F,000,Z,B,,,,,,B,,,,2016,01,
1000700000,H,I,,,,M,102,J,A,Z,,,,,,000,,I,,,,,,,,,,2016,01,
6500000000,H,I,,,,M,092,J,C,C,X,,,,M,000,Z,A,,X,,,,B,,,,2016,01,6500100000
6500000000,H,I,,,,M,098,J,,Z,,,,,M,065,Z,A,,,,,,B,A,,,2016,01,
6500000000,H,I,,,,M,098,J,,Z,,,,,M,065,Z,A,,,,,,B,A,,,2016,01,
